riga;nome attributo;valore da imputare;valore imputato
1203;year;1988;?
2133;year;2000;?
2288;year;2004;?
3099;party_detailed;REPUBLICAN;?
2747;candidate_first_name;BRIAN;?
1521;candidate_last_name;PEROT;PEROT
1247;candidatevotes;5391;?
1100;totalvotes;3099553;?
2867;state;KANSAS;KANSAS
3450;party_detailed;AMERICAN SHOPPING PARTY;?
3544;candidate_first_name;DONALD J.;DONALD J.
2117;state;PENNSYLVANIA;PENNSYLVANIA
2474;candidate_first_name;JOHN;JOHN
1507;state_fips;50;?
912;party_detailed;SOCIALIST WORKERS;?
1949;year;2000;?
2599;year;2008;?
356;candidate_first_name;EDWARD ED;EDWARD ED
556;state;OREGON;OREGON
2638;candidate_first_name;RALPH;?
2059;candidate_last_name;BROWNE;BROWNE
2130;party_simplified;OTHER;OTHER
3540;party_simplified;OTHER;?
780;candidatevotes;561;?
969;candidate_last_name;FULANI;FULANI
1492;state_po;UT;UT
869;candidate_first_name;RONALD;RONALD
125;totalvotes;3651590;3651590
3285;state;TEXAS;TEXAS
1860;state_po;WA;WA
3725;candidate_last_name;SCALF;?
2204;state_po;AZ;AZ
2329;state_fips;27;27
3257;candidatevotes;1002106;?
375;candidate_first_name;RONALD;RONALD
2585;candidate_last_name;MCCAIN;?
3597;party_simplified;DEMOCRAT;DEMOCRAT
1161;state_po;TN;TN
2099;party_detailed;LIBERTARIAN;?
2274;state_fips;18;18
2616;state_fips;27;27
1656;state_po;KS;KS
2409;party_simplified;DEMOCRAT;DEMOCRAT
984;state;DELAWARE;DELAWARE
1286;state_po;IL;IL
359;candidate_last_name;REAGAN;?
395;candidate_first_name;JOHN B.;JOHN B.
827;totalvotes;514370;?
1459;state_fips;42;42
437;candidatevotes;5119;?
3035;party_simplified;LIBERTARIAN;LIBERTARIAN
3518;state_fips;22;?
657;state_fips;2;2
1683;totalvotes;1780870;1780870
2631;state;MISSOURI;MISSOURI
1124;state_po;ND;?
2518;party_simplified;DEMOCRAT;DEMOCRAT
3615;candidate_last_name;HAWKINS;?
2350;year;2004;?
2782;state_po;AK;AK
3231;party_detailed;CONSTITUTION PARTY;?
3037;state_fips;55;55
125;party_simplified;OTHER;OTHER
3532;state_po;MD;MD
326;state_fips;5;5
708;candidate_first_name;DAVID;DAVID
564;candidate_first_name;CLIFTON;?
2605;party_simplified;REPUBLICAN;REPUBLICAN
970;year;1988;?
2139;party_simplified;REPUBLICAN;REPUBLICAN
3249;state_po;ND;ND
1953;totalvotes;367951;367951
